Product_Collection,Vertical_Segment,Launch_Year,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Cache,Instruction_Set,TDP,Max_Memory_Size,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth
Intel® Celeron® Processor J Series,Desktop,2016.5,14,107,2,2,2,2,64-bit,10,8,2,35.07890148212729
Intel® Celeron® Processor J Series,Desktop,2016.5,14,107,4,4,1.5,2,64-bit,10,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2016.5,14,107,4,4,1.1,2,64-bit,6,8,2,35.07890148212729
Intel® Celeron® Processor N Series,Mobile,2016.5,14,107,2,2,1.1,2,64-bit,6,8,2,35.07890148212729
7th Generation Intel® Core™ i5 Processors,Mobile,2016.5,14,281,2,4,1.2,4,64-bit,4.5,16,2,29.8
7th Generation Intel® Core™ i5 Processors,Mobile,2016.5,14,281,2,4,2.5,3,64-bit,15,32,2,34.1
7th Generation Intel® Core™ i7 Processors,Mobile,2016.5,14,393,2,4,2.7,4,64-bit,15,32,2,34.1
7th Generation Intel® Core™ m Processors,Mobile,2016.5,14,281,2,4,1,4,64-bit,4.5,16,2,29.8
7th Generation Intel® Core™ i3 Processors,Mobile,2016.5,14,281,2,4,2.4,3,64-bit,15,32,2,34.1
6th Generation Intel® Core™ i3 Processors,Mobile,2016.5,14,304,2,4,2.4,3,64-bit,28,32,2,34.1
Intel® Core™ X-series Processors,Desktop,2016.25,14,434,6,12,3.4,15,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2016.25,14,617,6,12,3.6,15,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2016.25,14,1089,8,16,3.2,20,64-bit,140,128,4,35.07890148212729
Intel® Core™ X-series Processors,Desktop,2016.25,14,1723,10,20,3,25,64-bit,140,128,4,35.07890148212729
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,294,4,8,3.5,10,64-bit,140,1.54,4,76.8
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,406,4,8,3.7,10,64-bit,140,1.54,4,76.8
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,617,6,12,3.6,15,64-bit,140,1.54,4,76.8
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,1,8,16,3.2,20,64-bit,140,1.54,4,76.8
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,1,8,16,3.4,20,64-bit,140,1.54,4,76.8
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,1,10,20,1.8,25,64-bit,105,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,1,10,20,2.1,25,64-bit,105,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,2,10,10,2.6,25,64-bit,135,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Embedded,2016.25,14,2,14,28,1.8,35,64-bit,75,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,2,12,24,2.1,30,64-bit,105,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,3,14,28,2.2,35,64-bit,105,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,4,8,16,2.5,30,64-bit,135,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,4,16,32,2.2,40,64-bit,120,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,5,18,36,2.2,45,64-bit,135,1.54,4,68
Intel® Xeon® Processor E5 v4 Family,Server,2016.25,14,7,22,44,2.2,55,64-bit,135,1.54,4,68
Intel® Xeon® Processor E3 v5 Family,Embedded,2016.25,14,396,4,8,1.9,8,64-bit,45,64,2,35.07890148212729
Intel® Xeon® Processor E3 v5 Family,Server,2016.25,14,417,4,8,2.5,8,64-bit,35,64,2,35.07890148212729
Intel® Xeon® Processor E3 v5 Family,Embedded,2016.25,14,449,4,8,2,8,64-bit,45,64,2,35.07890148212729
Intel® Xeon® Processor E3 v5 Family,Server,2016.25,14,445,4,8,3,8,64-bit,45,64,2,35.07890148212729
Intel® Xeon® Processor E3 v5 Family,Server,2016.25,14,556,4,8,3.5,8,64-bit,65,64,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2016.25,14,324,4,8,1.3,6,64-bit,20,128,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2016.25,14,590,8,16,1.6,12,64-bit,35,128,2,35.07890148212729
Intel® Xeon® Processor D Family,Server,2016.25,14,883,12,24,1.5,18,64-bit,45,128,2,35.07890148212729
Intel® Xeon Phi™ x200 Product Family,Server,2016.25,14,2,68,8.731416549789621,1.4,34,64-bit,215,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.25,14,1,64,8.731416549789621,1.3,32,64-bit,215,384,6,115.2
Intel® Xeon Phi™ x200 Product Family,Server,2016.25,14,1,64,8.731416549789621,1.3,32,64-bit,215,384,6,102
Intel® Xeon® Processor E7 v4 Family,Server,2016.25,14,1,8,16,2.1,20,64-bit,115,3.07,4,85
